idIngreso,fecha,hora,sucursal,producto,ingreso,metodoPago,usuario
0,2022-01-01,12:34,Argentina,producto 2,4613.76,tarjeta de debito,usuario 2
1,2022-01-01,11:12,Argentina,producto 1,33615.0,tarjeta de debito,usuario 3
2,2022-01-01,12:55,Argentina,producto 8,115952.31648000002,tarjeta de debito,usuario 4
3,2022-01-01,10:58,México,producto 8,132046.2,otro,usuario 1
4,2022-01-01,12:40,Ecuador,producto 4,19914.876,transferencia,usuario 3
5,2022-01-03,19:37,México,producto 3,598878.0,codigo QR,usuario 4
6,2022-01-03,15:56,Colombia,producto 2,667715.4,tarjeta de debito,usuario 3
7,2022-01-04,09:30,Perú,producto 10,45046.8,tarjeta de debito,usuario 4
8,2022-01-04,12:07,Ecuador,producto 2,125697.31199999999,transferencia,usuario 2
9,2022-01-05,19:05,Colombia,producto 2,193895.3076923077,transferencia,usuario 5
10,2022-01-05,11:48,Ecuador,producto 7,23523.048000000003,tarjeta de debito,usuario 5
11,2022-01-07,19:47,México,producto 6,249243.75,tarjeta de debito,usuario 4
12,2022-01-07,13:33,México,producto 3,4590.0,tarjeta de credito,usuario 3
13,2022-01-08,20:38,Perú,producto 5,214808.36538461538,tarjeta de debito,usuario 2
14,2022-01-09,19:13,México,producto 2,418586.454,codigo QR,usuario 5
15,2022-01-10,13:39,México,producto 4,314921.25,codigo QR,usuario 1
16,2022-01-10,19:43,Ecuador,producto 1,16599.239999999998,tarjeta de credito,usuario 2
17,2022-01-11,10:50,Colombia,producto 4,853357.5865384615,codigo QR,usuario 1
18,2022-01-11,11:16,Ecuador,producto 4,1883912.904,codigo QR,usuario 2
19,2022-01-13,09:41,Ecuador,producto 2,39440.769230769234,transferencia,usuario 3
20,2022-01-14,13:55,México,producto 1,112706.1,otro,usuario 4
21,2022-01-14,17:19,Perú,producto 5,26631.36,efectivo,usuario 3
22,2022-01-15,10:59,México,producto 7,68646.29472000002,efectivo,usuario 3
23,2022-01-16,17:56,Argentina,producto 9,29326.345650000003,otro,usuario 2
24,2022-01-17,13:39,Argentina,producto 9,113345.48076923077,tarjeta de debito,usuario 2
25,2022-01-17,20:55,Ecuador,producto 6,325306.8,efectivo,usuario 5
26,2022-01-18,20:22,Colombia,producto 8,30270.239999999998,tarjeta de debito,usuario 4
27,2022-01-19,16:55,Colombia,producto 1,37634.511600000005,efectivo,usuario 3
28,2022-01-20,22:39,Perú,producto 5,49630.32000000001,transferencia,usuario 5
29,2022-01-20,17:19,Perú,producto 3,549917.3076923077,codigo QR,usuario 5
30,2022-01-20,16:22,Argentina,producto 7,147622.54374000002,transferencia,usuario 4
31,2022-01-21,10:49,Perú,producto 3,271753.3774038462,otro,usuario 4
32,2022-01-21,11:53,Perú,producto 10,17444.7,otro,usuario 2
33,2022-01-22,12:28,Perú,producto 10,12163.0005,efectivo,usuario 4
34,2022-01-23,22:31,México,producto 6,3852.3599999999997,codigo QR,usuario 5
35,2022-01-24,19:48,México,producto 4,55172.7198,otro,usuario 2
36,2022-01-24,17:29,Colombia,producto 8,48100.37904,transferencia,usuario 1
37,2022-01-24,14:45,México,producto 5,42070.29840000001,tarjeta de credito,usuario 2
38,2022-01-26,12:38,Colombia,producto 9,590733.0,tarjeta de debito,usuario 4
39,2022-01-27,22:27,Colombia,producto 6,92277.2088,codigo QR,usuario 2
40,2022-01-28,19:02,Perú,producto 9,401126.98500000004,efectivo,usuario 4
41,2022-01-28,22:52,México,producto 9,118571.07240000003,transferencia,usuario 5
42,2022-01-29,11:47,Argentina,producto 8,721299.6,efectivo,usuario 1
43,2022-01-29,13:44,Ecuador,producto 10,547649.1,transferencia,usuario 3
